Title,ImageLink,Price,Category,Description,Dimension
"""African with Lute, "" Rare Sculpture of Female Nude by Archipenko Student","https://a.1stdibscdn.com/archivesE/upload/1121231/f_3550982/3550982_master.jpg, https://a.1stdibscdn.com/archivesE/upload/f_8651/f_3550982/Berger1a_master.jpg, https://a.1stdibscdn.com/archivesE/upload/f_8651/f_3550982/Berger2_master.jpg, https://a.1stdibscdn.com/archivesE/upload/f_8651/f_3550982/BergerSign_master.jpg, https://a.1stdibscdn.com/archivesE/upload/f_8651/f_3550982/BergerARKOMark_master.jpg",3500.0,"Furniture >Decorative Objects >Sculptures >Figurative Sculptures ,Furniture,Decorative Objects,Sculptures,Figurative Sculptures,","Sculpted in the late 1920s by Margaret Berger, a student of Alexander Archipenko, this is one of the finest sculptures to come out of his ARKO Modern American Ceramics school in Woodstock, New York. Archipenko studied in Kiev and Paris and established an art school in Berlin, and after immigrating to America in 1923, he continued to be an infatigable teacher and entrepreneur, establishing schools in New York, Chicago and Los Angeles. Margaret bergere was born in Denver, and after joining the ARKO school, her work was exhibited in Pittsburgh in 1929, along with the work of Lu Duble and other ARKO students. The wonderful twisting form of this figure is a superb example of Art Deco fused with Cubism.",0
"""An Elegant Hawking Party"" A Pair of Paintings by August Querfurt","https://a.1stdibscdn.com/archivesE/upload/1121189/f_413308121725541772222/41330812_datamatics.jpg, https://a.1stdibscdn.com/an-elegant-hawking-party-a-pair-of-paintings-by-august-querfurt-for-sale-picture-2/f_10176/f_413308121725466545785/IMG_7802_master.jpg, https://a.1stdibscdn.com/an-elegant-hawking-party-a-pair-of-paintings-by-august-querfurt-for-sale-picture-3/f_10176/f_413308121725466545988/IMG_7804_master.jpg, https://a.1stdibscdn.com/an-elegant-hawking-party-a-pair-of-paintings-by-august-querfurt-for-sale-picture-4/f_10176/f_413308121725466547378/IMG_7805_master.jpg, https://a.1stdibscdn.com/an-elegant-hawking-party-a-pair-of-paintings-by-august-querfurt-for-sale-picture-5/f_10176/f_413308121725466546975/IMG_7806_master.jpg, https://a.1stdibscdn.com/an-elegant-hawking-party-a-pair-of-paintings-by-august-querfurt-for-sale-picture-6/f_10176/f_413308121725466548165/IMG_7808_master.jpg, https://a.1stdibscdn.com/an-elegant-hawking-party-a-pair-of-paintings-by-august-querfurt-for-sale-picture-7/f_10176/f_41330812/IMG_1725467578532_master.jpg, https://a.1stdibscdn.com/an-elegant-hawking-party-a-pair-of-paintings-by-august-querfurt-for-sale-picture-8/f_10176/f_41330812/IMG_1725467598397_master.jpg",14800.0,"Furniture >Wall Decorations >Paintings ,Furniture,Wall Decorations,Paintings,","Pair of old master paintings by August Querfurt (1696-1761).  Oil on panel, one signed with initials in the lower left.  Two scenes depicting hawking parties from the 18th century.  In wonderful condition and ready to hang.  The","listed are if the two were hung one on top of the other.  The paintings each measure 18"" x 22.25"" including the frames.  

Provenance:
Sothebys NYC 1991
Colnaghi Gallery NYC 
Private Collection 
Bradbury Art and Antiques, Wiscasset, ME

August Querfurt (1696-1761) is most well-known as a painter of soldiers and battle scenes. He was born in Wolfenbuttel, Vienna in 1696. His father, Tobias, a landscape and animal painter and the Brunswick Court Painter, was young August’s first teacher.

He studied under Rugendas and spent most of his professional career in Augsburg, Vienna. His paintings were thought to be modeled on the works of Wouvermans.

In 1752, Querfurt became a member of the Academy of Vienna. Querfurt painted a series of 12 paintings for Duke Karl Alexander of Württemberg. Two of those paintings, The Battle of Belgrade and The Battle of Blenheim were 11 meters by 4 meters. Querfurt painted 8 pieces for Empress Maria Theresa (1717-1780) of events from the War of Austrian Succession (1740-1748). The works for the Empress are now housed in the Museum of Military History located in Vienna.

Querfurt lived during a very turbulent time. The Holy Roman Empire, The Ottoman Empire, the Hapsburgs, Great Britain and a number of other forces fought several battles in and around Vienna while Querfurt was living there. In some ways it was perhaps destined for the artist to primarily paint military landscapes of battles and portraits of soldiers as for much of his life, his country was at war.

Querfurt died in Vienna in 1761."
"""Black Dancer, "" Art Deco Depiction of African American Female Figure, Rare","https://a.1stdibscdn.com/black-dancer-art-deco-depiction-of-african-american-female-figure-rare-for-sale/1121189/f_194769921592319742834/19476992_master.jpg, https://a.1stdibscdn.com/black-dancer-art-deco-depiction-of-african-american-female-figure-rare-for-sale-picture-2/f_8651/f_194769921592159127421/Rosenbauer_master.jpg, https://a.1stdibscdn.com/black-dancer-art-deco-depiction-of-african-american-female-figure-rare-for-sale-picture-3/f_8651/f_194769921592159093465/Rosenbauer4_master.jpg, https://a.1stdibscdn.com/black-dancer-art-deco-depiction-of-african-american-female-figure-rare-for-sale-picture-4/f_8651/f_194769921592159149086/Rosenbauer1a_master.jpg, https://a.1stdibscdn.com/black-dancer-art-deco-depiction-of-african-american-female-figure-rare-for-sale-picture-5/f_8651/f_194769921592159176049/Rosenbauer1b_master.jpg, https://a.1stdibscdn.com/black-dancer-art-deco-depiction-of-african-american-female-figure-rare-for-sale-picture-6/f_8651/f_194769921592159206872/RosenbauerSign_master.jpg",4250.0,"Furniture >Decorative Objects >Sculptures >Figurative Sculptures ,Furniture,Decorative Objects,Sculptures,Figurative Sculptures,","With her elbows jutting to the side and her hips thrust forward, the viewer can almost picture this dancer out on the floor, her dress flaring and her shoulders glistening from the heat of the night. Although this remarkable sculpture has the appearance of richly-colored mahogany, it is cast in bronze, given a rich patina. The sculptor was William Wallace Rosenbauer, who was a pupil of Alexander Archipenko and is best known for directing the Kansas City Art Institute in the 1940s. He exhibited widely in the 1920s, 1930s and 1940s, and his works are owned by the Nelson-Atkins Museum of Art. The sculpture is signed with the artist's monogram.",0
"""Lady Washington's Reception, "" Engraved by A. H. Ritchie, Antique Print, 1865","https://a.1stdibscdn.com/lady-washingtons-reception-after-d-huntington-engraved-by-a-h-ritchie-for-sale/1121189/f_118569931544690132065/11856993_master.jpg, https://a.1stdibscdn.com/lady-washingtons-reception-after-d-huntington-engraved-by-a-h-ritchie-for-sale-picture-2/f_9097/f_118569931544636987933/PR331_copy_master.jpeg, https://a.1stdibscdn.com/lady-washingtons-reception-after-d-huntington-engraved-by-a-h-ritchie-for-sale-picture-3/f_9097/f_118569931544637004767/PR331_copy_3_master.jpeg, https://a.1stdibscdn.com/lady-washingtons-reception-after-d-huntington-engraved-by-a-h-ritchie-for-sale-picture-4/f_9097/f_118569931544637019142/PR331_copy_2_master.jpeg",5950.0,"Furniture >Wall Decorations >Prints ,Furniture,Wall Decorations,Prints,","This 1865, hand-colored engraving by A. H. Ritchie is entitled Lady Washington's Reception and is based on Daniel F. Huntington's original painting ""The Republican Court in the Time of Washington, or Lady Washington's Reception Day."" 

A.H. Ritchie, the engraver, was one of the best historical printmakers of the mid-19th century. He is particularly known for the clarity and richness of his engravings, and this fine image is an excellent example of his work. 

This print is filled with symbolism representing the regal status conferred on Martha and George in the mid-19th century. The elegance of the surroundings, the richness of the dress of those at the reception, and the formality of the situation and poses all recall a scene from any of the royal courts of Europe in the late eighteenth century. Indeed, it was likely the depicted refinement of the costumes and the obvious high status accorded to these American socialites that most explains the popularity of Huntington's oil painting and this elaborate print. 

On May 7, 1789, President George and Martha Washington attended a ball in their honor. The event provided a model for the first official inaugural ball, held to celebrate James Madison’s ascension to the office ten years later, which then became an annual tradition.

Washington was sworn in as the first president of the United States on April 30, 1789. A week later, an elaborate ball was held to celebrate the event in New York, the temporary headquarters of the federal government, in a building on Broadway near Wall Street. Unfortunately for the president, his wife Martha was unable to attend. She was still at their estate Mt. Vernon, in Virginia, where she was wrapping up business affairs before making the trip to New York.

Washington arrived at the ball in the company of other American statesmen and their wives. That evening he danced with many of New York’s society ladies. Vice President John Adams, members of Congress and visiting French and Spanish dignitaries, as well their wives and daughters, joined in the festivities. Eliza Hamilton, wife of Alexander Hamilton, recorded her impressions of the ball in her memoirs, noting that the president liked to dance the minuet, a dance she thought was suited to his dignity and gravity.",0
"""Mountain Lake, "" Saggat Trask Lapland Johan Ringsten or Per D. Holm, c. 1879","https://a.1stdibscdn.com/archivesE/upload/f_9881/f_231702521708957238660/f_23170252_1708957239233_bg_processed.jpg, https://a.1stdibscdn.com/mountain-lake-saggat-trask-lapland-johan-ringsten-or-per-d-holm-c-1879-for-sale/1121189/f_231702521617389891755/23170252_master.jpg, https://a.1stdibscdn.com/mountain-lake-saggat-trask-lapland-johan-ringsten-or-per-d-holm-c-1879-for-sale-picture-3/f_9881/1617122241984/fin00038_3_master.jpg, https://a.1stdibscdn.com/mountain-lake-saggat-trask-lapland-johan-ringsten-or-per-d-holm-c-1879-for-sale-picture-4/f_9881/f_231702521617127829756/DSC_6373_master.jpg, https://a.1stdibscdn.com/mountain-lake-saggat-trask-lapland-johan-ringsten-or-per-d-holm-c-1879-for-sale-picture-5/f_9881/1617122245410/fin00038_1_master.jpg, https://a.1stdibscdn.com/mountain-lake-saggat-trask-lapland-johan-ringsten-or-per-d-holm-c-1879-for-sale-picture-6/f_9881/1617122242949/fin00038_2_master.jpg, https://a.1stdibscdn.com/mountain-lake-saggat-trask-lapland-johan-ringsten-or-per-d-holm-c-1879-for-sale-picture-7/f_9881/1617122244301/fin00038_4_master.jpg, https://a.1stdibscdn.com/mountain-lake-saggat-trask-lapland-johan-ringsten-or-per-d-holm-c-1879-for-sale-picture-8/f_9881/1617122240672/fin00038_5_copy_master.jpg, https://a.1stdibscdn.com/mountain-lake-saggat-trask-lapland-johan-ringsten-or-per-d-holm-c-1879-for-sale-picture-9/f_9881/1617122239258/fin00038_6_master.jpg, https://a.1stdibscdn.com/mountain-lake-saggat-trask-lapland-johan-ringsten-or-per-d-holm-c-1879-for-sale-picture-10/f_9881/f_231702521617127831220/DSC_6371_master.jpg, https://a.1stdibscdn.com/mountain-lake-saggat-trask-lapland-johan-ringsten-or-per-d-holm-c-1879-for-sale-picture-11/f_9881/f_231702521617132844654/DSC_6378_master.jpg, https://a.1stdibscdn.com/mountain-lake-saggat-trask-lapland-johan-ringsten-or-per-d-holm-c-1879-for-sale-picture-12/f_9881/f_231702521617132846514/DSC_6374_master.jpg, https://a.1stdibscdn.com/mountain-lake-saggat-trask-lapland-johan-ringsten-or-per-d-holm-c-1879-for-sale-picture-13/f_9881/f_231702521617132847760/DSC_6375_master.jpg, https://a.1stdibscdn.com/mountain-lake-saggat-trask-lapland-johan-ringsten-or-per-d-holm-c-1879-for-sale-picture-14/f_9881/f_231702521617132849331/DSC_6376_master.jpg, https://a.1stdibscdn.com/mountain-lake-saggat-trask-lapland-johan-ringsten-or-per-d-holm-c-1879-for-sale-picture-15/f_9881/f_231702521617132851294/DSC_6377_master.jpg, https://a.1stdibscdn.com/f_9881/DEALER_STOREFRONT_CAROUSEL/1561730282_2gniu/DSC_0340copycopy.jpg",2800.0,"Furniture >Wall Decorations >Paintings ,Furniture,Wall Decorations,Paintings,","Artists: Johan Ringsten (1848-1911) or Per D. Holm (1835-1903)
Oil on canvas
View of a ""mountain Lake"" with Reindeer Saggat Trask Lapland c. 1879
Canvas: 47 1/2"" wide x 27 1/2"" high 
Frame: 57 1/2 wide x 38"" high x 4"" deep

Artist: Johan Ringsten, born October 10, 1848 in Kalmar, died August 11, 1911, was a Swedish artist and curator.

He was the son of Johan Matias Ringsten and Augusta Serafina Nisbeth and married to Teckla Maria Dalqvist. Ringsten studied at the Academy of Fine Arts in Stockholm and after his studies was active as a copyist, landscape and genre painter. He participated in exhibitions arranged by the Art Association for Southern Sweden. He was hired as a curator by the National Museum, the Academy of Fine Arts and the Catholic Church in Stockholm. Ringsten is represented at Östergötland Museum, Norrköping Art Museum and Uppsala University Library [1].
Note: You should always request a shipping quote.
Quoted amounts are an estimate of what it might cost to ship out to you based on destinations of the greatest distance. We would love to find you a better quote if possible.

Artist: Per Daniel Holm (11 September 1835, Smedjebacken - 7 August 1903, Stockholm) was a Swedish landscape painter.
 
His father, Alexander Holm, was a pastor at Järnboås church [sv]. He attended the KTH Royal Institute of Technology until 1855, then became a mechanical draftsman for the Köping-Hults Railway [sv], This was followed by a similar position at the zoological museum of the Royal Swedish Academy of Sciences.
From 1858 to 1863, he studied landscape painting at the Royal Swedish Academy of Fine Arts, with Nils Andersson, and made numerous study trips to northern Sweden and Norway. In 1862. he was awarded a royal medal for landscapes of Lapland.
He continued his studies in Düsseldorf, Munich, Karlsruhe and Paris. He was named a member of the Royal Academy in 1871, becoming a Vice-Professor of landscape painting in 1873, and a full Professor in 1881. That same year, he became a conservator at the Nationalmuseum. He resigned all of his positions in 1900.[1]
He was especially appreciated for his depictions of geological formations. In addition to his paintings, he provided illustrations for Lappland, dess natur och folk, by Carl Anton Pettersson [sv]. He had a large collection of art and old books that was scattered after his death.
His works may be seen at the Nationalmuseum, the Göteborgs konstmuseum, the Stockholm City Museum and the Norrköpings konstmuseum [sv].[2].",0
"""Nude Among Flowers, "" Deep, Wide Art Deco Bowl by California Artist, 1930s","https://a.1stdibscdn.com/archivesE/upload/1121189/f_84741831505123808627/8474183_master.jpg, https://a.1stdibscdn.com/archivesE/upload/f_8651/f_84741831504987215468/Erckenbrack1b_master.jpg, https://a.1stdibscdn.com/archivesE/upload/f_8651/f_84741831504987240292/Erckenbrack1a_master.jpg, https://a.1stdibscdn.com/archivesE/upload/f_8651/f_84741831504987248618/ErckenbrackBowl2_master.jpg, https://a.1stdibscdn.com/archivesE/upload/f_8651/f_84741831504987258215/ErckenbrackSign_master.jpg",3500.0,"Furniture >Decorative Objects >Bowls and Baskets >Decorative Bowls ,Furniture,Decorative Objects,Bowls and Baskets,Decorative Bowls,","Clearly influenced by Matisse and other European modernists, this large and deep ceramic bowl with sgraffito decoration depicts a female nude and seated man amidst an array of floral motifs, ringed by a brilliant yellow aureole. The artist was Mary Erckenbrack, who lived a cosmopolitan existence in her early years, residing in Rio de Janeiro, France and England before studying in Paris and later under Alexander Archipenko. She operated a studio in San Francisco in the 1930s and her creations were sold at Gumps, Marshall Fields and shops in New York. This piece is especially large and bold.",0
"""Nude Archer, "" Bold Ink Drawing with Male Nude, Influenced by Klimt","https://a.1stdibscdn.com/archivesE/upload/1121189/f_289777921654617997347/28977792_datamatics.jpg, https://a.1stdibscdn.com/nude-archer-bold-ink-drawing-with-male-nude-influenced-by-klimpt-for-sale-picture-2/f_8651/f_289777921654448618133/StolzArcher2a_master.jpg, https://a.1stdibscdn.com/nude-archer-bold-ink-drawing-with-male-nude-influenced-by-klimpt-for-sale-picture-3/f_8651/f_289777921654448625717/StolzArcher2b_master.jpg, https://a.1stdibscdn.com/nude-archer-bold-ink-drawing-with-male-nude-influenced-by-klimpt-for-sale-picture-4/f_8651/f_289777921654448633672/StolzArcher_master.jpg",3400.0,"Furniture >Wall Decorations >Drawings ,Furniture,Wall Decorations,Drawings,","Bold and atmospheric, this ink drawing depicts a kneeling nude male figure, his bow arched and his arrow ready to spring forward, surrounded by a flower-bedecked landscape that clearly draws its inspiration from Gustav Klimt's work.  To the left, silhouetted against the dark background, a pair of stylized geese -- evidently his target -- are shown flying upward.  The sun which dapples the figure of the archer highlights his lithe musculature, and the artist -- Erwin Stolz -- gives the same close attention to the landscape behind.  Stolz was well connected to the artistic elite of Vienna, and was friends with Alexander Rothaug, the great illustrator and symbolist painter and with Josef Matthias Hauer, a composer who was close to Arnold Schoenberg.  This drawing is ink on paper.  (",include the matte and frame; visible drawing is 8.75 inches high by 7 inches wide.)
"""Psyche taking the bath"" Fine silk embroidery","https://a.1stdibscdn.com/psyche-taking-the-bath-fine-silk-embroidery-for-sale/f_98702/f_402121621718639286390/f_40212162_1718639287636_bg_processed.jpg, https://a.1stdibscdn.com/psyche-taking-the-bath-fine-silk-embroidery-for-sale-picture-2/f_98702/f_402121621718639313766/Fragment_1_master.jpg, https://a.1stdibscdn.com/psyche-taking-the-bath-fine-silk-embroidery-for-sale-picture-3/f_98702/f_402121621718639313824/Fragment_2_master.jpg, https://a.1stdibscdn.com/psyche-taking-the-bath-fine-silk-embroidery-for-sale-picture-4/f_98702/f_402121621718639314937/Fragment_3_master.jpg, https://a.1stdibscdn.com/psyche-taking-the-bath-fine-silk-embroidery-for-sale-picture-5/f_98702/f_402121621718639314950/Fragment_4_master.jpg, https://a.1stdibscdn.com/psyche-taking-the-bath-fine-silk-embroidery-for-sale-picture-6/f_98702/f_402121621718639314113/Fragment_5_master.jpg, https://a.1stdibscdn.com/psyche-taking-the-bath-fine-silk-embroidery-for-sale-picture-7/f_98702/f_402121621718639315851/Fragment_6_master.jpg, https://a.1stdibscdn.com/psyche-taking-the-bath-fine-silk-embroidery-for-sale-picture-8/f_98702/f_402121621718639314586/Interior_master.jpg, https://a.1stdibscdn.com/f_98702/DEALER_STOREFRONT_CAROUSEL/1718806237_5i6eq/page3.jpg",98600.0,"Furniture >Wall Decorations >Tapestries ,Furniture,Wall Decorations,Tapestries,","This exquisite piece titled ""Psyche taking the bath"" is a fine silk embroidery based on the original design by the artists Louis Laffite and Joseph Blondel for a French wallpaper. This artwork is a replica after original antique design.
 
Painstakingly handcrafted with 25,000 shades of silk threads, this is the only original reproduction of this design, it took the craftsman 3 years to produce this level of work.
The intricate details and delicate craftsmanship make this artwork a true masterpiece. It is a timeless piece that would elevate any art collection or home decor.

History of Design

There were originally 12 paintings depicting the story of Psyche based on Jean de La Fontaine's novel The Love of Cupid and Psyche (1669), which was itself inspired by the story of the Golden Donkey by the second-century Roman author Apuleius. This is one of the panoramic decorations. The original design was executed in a grisaille effect and 1,245 hand-printed wooden blocks were used to create the entire composition. It was originally produced by the famous French wallpaper company Joseph Dufour et Cie and then recreated in the second half of the 19th century by Desfosse & Karth.

Cupid, the god of love, fell in love with the mortal princess Psyche after accidentally pricking herself with one of his arrows. Cupid asked Zephyrus, the west wind, to bring Psyche to his domain. Upon arriving at Cupid's house, a voice tells Psyche to let the servants bathe her. Psyche agrees to the invisible master's command, which is the aspect of the story that our masterpiece illustrates.

If you look closely, you can see Cupid hiding his cleaver in the leftmost panel, watching intently.


",0
"""Roping Sculpture"", Drawing of Two Youths w/ Classical Stone Head, Burnt Sienna","https://a.1stdibscdn.com/roping-sculpture-drawing-of-two-youths-w-classical-stone-head-burnt-sienna-for-sale/f_8651/f_395374121714676429708/f_39537412_1714676431001_bg_processed.jpg, https://a.1stdibscdn.com/roping-sculpture-drawing-of-two-youths-w-classical-stone-head-burnt-sienna-for-sale-picture-2/f_8651/f_395374121714676448157/Mitchell1aBetter_master.jpg, https://a.1stdibscdn.com/roping-sculpture-drawing-of-two-youths-w-classical-stone-head-burnt-sienna-for-sale-picture-3/f_8651/f_395374121714676470422/Mitchell1b_master.jpg, https://a.1stdibscdn.com/roping-sculpture-drawing-of-two-youths-w-classical-stone-head-burnt-sienna-for-sale-picture-4/f_8651/f_395374121714676480667/MitchellSignBetter_master.jpg, https://a.1stdibscdn.com/roping-sculpture-drawing-of-two-youths-w-classical-stone-head-burnt-sienna-for-sale-picture-5/f_8651/f_395374121714676493308/Mitchellw_frame_master.jpg",4200.0,"Furniture >Wall Decorations >Drawings ,Furniture,Wall Decorations,Drawings,","This finely detailed drawing by Peter Todd Mitchell -- famed for his fabric and wallpaper designs after World War II -- depicts two semi-nude male figures maneuvering a Classical stone head.  The colors are vivid and striking -- Mitchell used white, black and red inks on a paper the color of burnt sienna.  The figures seem calm and matter-of-fact, while the head is frozen in an open-mouthed grimace -- perhaps a Classical depiction of ""tragedy.""  Mitchell studied at Yale and at the Academia de las Bellas Artes in Mexico.  After the war he pursued a painting career and exhibited at Jean Cocteau's Galerie Morihien.  He worked with a number of fashion designers including Alexander 'Omar' Kiam and Norman Norell.  This drawing is signed in the lower righthand corner.",include matte and frame.
"""Sea Dragon Candle Stand"", Large Art Deco Masterpiece, Wrought Iron, Sweden","https://a.1stdibscdn.com/sea-dragon-candle-stand-large-art-deco-masterpiece-wrought-iron-sweden-for-sale/f_8651/f_371981021700604766240/f_37198102_1700604766953_bg_processed.jpg, https://a.1stdibscdn.com/sea-dragon-candle-stand-large-art-deco-masterpiece-wrought-iron-sweden-for-sale-picture-2/f_8651/f_371981021700604782604/Borgstrom1a_master.jpg, https://a.1stdibscdn.com/sea-dragon-candle-stand-large-art-deco-masterpiece-wrought-iron-sweden-for-sale-picture-3/f_8651/f_371981021700604791727/Borgstrom1b_master.jpg, https://a.1stdibscdn.com/sea-dragon-candle-stand-large-art-deco-masterpiece-wrought-iron-sweden-for-sale-picture-4/f_8651/f_371981021700604814570/Borgstrom1c_master.jpg, https://a.1stdibscdn.com/sea-dragon-candle-stand-large-art-deco-masterpiece-wrought-iron-sweden-for-sale-picture-5/f_8651/f_371981021700604799069/Borgstrom2_master.jpg, https://a.1stdibscdn.com/sea-dragon-candle-stand-large-art-deco-masterpiece-wrought-iron-sweden-for-sale-picture-6/f_8651/f_371981021700604829910/BorgstromMark_master.jpg",5500.0,"Furniture >Decorative Objects >Sculptures >Figurative Sculptures ,Furniture,Decorative Objects,Sculptures,Figurative Sculptures,","Unique and striking, this Art Deco-Modernist candle stand by Karl Einar Borgström depicts a highly stylized sea dragon using wrought iron bars and rods.  Although this piece has a practical purpose -- it is surmounted by a half-circle iron dish with a spike designed to hold a pillar candle -- it is more than anything an example of Modernist sculpture, and is reminiscent of some of the early work of Alexander Calder.  Borgström executed this piece for Ystad Metal, located in southern Sweden, which is largely known for cast bronze and brass pieces made in multiples.  The piece is marked with the artist's monogram and the Ystad stamp.  ",0
