Title,ImageLink,Price,Category,Description,Dimension
"""A Village School"" American Oil on Canvas, Kids in Class, Constant Mayer, 1871",https://a.1stdibscdn.com/a-village-school-american-oil-on-canvas-kids-in-class-constant-mayer-1871-for-sale/1121189/f_112693611542965463237/11269361_master.jpg,24500.0,"Furniture >Wall Decorations >Paintings ,Furniture,Wall Decorations,Paintings,","A beautiful American oil on canvas school room scene with a teacher instructing students who are seated on benches and on the ground, with one student who appears to be wearing a dunce cap, signed on the lower left, ""Constant Mayer 1871"". Mayer has beautifully captured the classroom setting with a mid-19 century teacher bringing his class together with various scriptures and lessons. The boy with a dunce cap is in time-out for acting improperly while in class, while the other kids are learning various subjects, such as math and English.

Constant Mayer was a French painter who moved to the United States in 1854. He was born in Besancon, France and studied in the Ecole des Beaux-Art school in Paris under Leon Cogniet. He was elected as an associate of the Legion of Honor and was also elected as an associate of the National Academy of Design in 1866, as well as a member of the American Art Union. Many of Constant Mayer's works are found in world-renowned museums, which include the Metropolitan Museum of Art in New York City.
New York, circa 1871.",0
17th Century Chinese Bronze Censer & Cover with Jade Finial Top and Wood Base,https://a.1stdibscdn.com/a-17th-century-chinese-bronze-censer-cover-with-jade-finial-top-and-wood-base-for-sale/f_9195/f_316655521670616017279/f_31665552_1670616018434_bg_processed.jpg,18500.0,"Furniture >Asian Art and Furniture >Metalwork ,Furniture,Asian Art and Furniture,Metalwork,","A Fantastic and Rare 17th century Chinese Patinated Bronze Censer & Cover with Jade Finial Top and Wood Base. The body of this censor is intricately decorated with Archaistic decoration in hand-chassed relief. The wooden lid is designed with a foliate, leaf-like form, with a gorgeous white jade finial in the shape of a lotus leaf. The gorgeous tripod censer stands on a beautiful hard-wood base, which is fantastically hand carved and decorated with a nature-esc motif. Censer's such as this, are very difficult to find in this quality, condition, Size, and age. They are usually highly damaged and missing integral portions, such as lids or bases. However, this piece is fully complete and in outstanding condition for its age.
China, circa: 1690-1705.",0
"18 C. Louis XVI French Ormolu Mtd. Queen’s Manufacture Porcelain Clock, F. Godon",https://a.1stdibscdn.com/archivesE/upload/1121189/f_402293521719414225312/40229352_datamatics.jpg,38544.0,"Furniture >Decorative Objects >Clocks >Mantel Clocks ,Furniture,Decorative Objects,Clocks,Mantel Clocks,","An Incredible and Quite Rare 18th Century Louis XVI Period French Ormolu Mounted Queen’s Manufacture Porcelain Clock, known as the  Marie-Antoinette Clock, The movement by François-Louis Godon.  The clock consists of polychrome hand-painted porcelain and gilt ormolu decoration. Characterized by their extravagant use of Rococo design motifs, mantel clocks such as this one were used not for their practicality, but as a display of immoderation and opulence.

Atop the vessel is a spray of gilt spring flowers: daffodils, foxgloves, roses, and morning bells. The ormolu fixtures on the clock face, stem, and apex complement the painted flowers on the surface of the porcelain.   Above the hands on the clock face reads “Maniere” in reference to the clock’s designer, Charles-Guillaume Manière. As the son of a Parisian master clockmaker, Manière became a master himself in the late 18th century and trained under other notable French designers. His work was often made in collaboration with Pierre-Philippe Thomire and François Rémond who possibly made the ormolu casing for his clock.  This is a very rare and highly prized piece for any collection. Similar clocks can be found in museum's around the world, including the Metropolitan Museum of Art in NY and other museums around the world.
Paris, Circa:  1785
",0
18/19 C. Italian Grand Tour Fine Antique Mixed Marble and Scagliola Obelisk,https://a.1stdibscdn.com/18-19-c-italian-grand-tour-fine-antique-mixed-marble-and-scagliola-obelisk-for-sale/f_9195/f_386029321709047553302/f_38602932_1709047554588_bg_processed.jpg,6240.0,"Furniture >More Furniture and Collectibles >Home Accents >Obelisks ,Furniture,More Furniture and Collectibles,Home Accents,Obelisks,","A Fantastic 18th/19th Century Italian Grand Tour Antique Mixed Marble and Scagliola Obelisk. This grand tour Italian mixed marble and scagliola obelisk mixes Egyptian architecture into traditional European homeware. Made during the late 1700s, the object is a nod to the obelisks originally erected in Ancient Egypt. While Westerners have been influenced by Ancient Egyptian motifs for centuries, there was a distinct stylistic revival in the late 1700's and early 1800's due to European expansion and colonization of Northern Africa. Decorative elements from Ancient Egyptian architecture began to surface in European design, particularly in interior spaces. A symbol of rebirth, this obelisk is both representative of the revitalizing energy of the sun and the revival of the enduring Egyptian style.
Italy, Circa:  18/19th Century",0
18th C. Chinese Porcelain Famille Rose Mandarin 3-Piece Vase Garniture Set,https://a.1stdibscdn.com/an-18th-c-chinese-porcelain-famille-rose-mandarin-3-piece-vase-garniture-set-for-sale/f_9195/f_325223921675183761320/f_32522392_1675183762855_bg_processed.jpg,19780.0,"Furniture >Asian Art and Furniture >Ceramics ,Furniture,Asian Art and Furniture,Ceramics,","An 18th century Chinese Porcelain Famille Rose Mandarin 3-Piece vase Garniture Set. A status symbol between the 17th and 19th centuries, most garniture sets have by now been damaged or broken up with the individual pieces sold off. Few complete sets now exist, and even fewer survive in their original state, which makes this beautifully painted set of three Chinese Porcelain Famille Rose vases so much more special. With mandarin orange and gilt unusually bold and swooping dragon handles, each delicately decorated vase is completed with a lid seating a gloriously pompous foo dog. The bodies are decorated with hand painted famille rose flowerpot cartouches, as well as, chirping birds, and banded flowers and vines.

The exquisite hand painted tastefully colored floral displays each with their own hand painted vase creates a freshness and inspires within us the IDEA for further additions of fresh flowers within the home. One of the porcelain, three (3) piece garniture set, is smaller and has a variation of banded colors around its fluted foot, lending just the right amount of visual variation to this gorgeous trio. The white porcelain bulbous bodies are further decorated with colorful insects, gilded scrolls and flowers between bands of bead and flower swags to neck and high foot, with 24k gold & mandarin orange petal borders to mouths and foot and fully modeled gilt Dragon handles from sides to shoulders.
China, circa: 1780-1800

Tallest Vase: 13 inches.",0
18th C. English Porcelain Trompe L'oeil Covered Cauliflower Form Box,https://a.1stdibscdn.com/an-18th-c-english-porcelain-trompe-loeil-covered-cauliflower-form-box-for-sale/f_9195/f_325078321675118429680/f_32507832_1675118430760_bg_processed.jpg,6250.0,"Furniture >Decorative Objects >Boxes >Decorative Boxes ,Furniture,Decorative Objects,Boxes,Decorative Boxes,","An 18th century English Porcelain Trompe L'oeil covered cauliflower form Box. This English Porcelain Trompe L'oeil Covered Cauliflower Form Box is a unique and fascinating example of the trompe l'oeil (meaning ""trick of the eye"") style of decorative art. This particular box is crafted from porcelain, a delicate and refined Material that was highly prized in 18th century England. The box takes the form of a cauliflower, with the base of the vegetable serving as the body of the box and the intricate and lifelike leaves forming the lid. The lid fits snugly onto the base, creating a functional and secure container that can be used to store small treasures or other items.
England, circa: late 1700s

The trompe l'oeil technique used to create this box is what makes it truly special. The level of detail and realism is astounding, with every vein and crease of the cauliflower leaves carefully replicated in porcelain. The overall effect is so convincing that it is easy to forget that the box is not a real cauliflower. This box would have been a highly prized possession in the 18th century, not only for its functional use but also for its artistic merit. It is a testament to the skill and creativity of the porcelain artisans of the time and a charming reminder of the whimsical and playful spirit of the era. Today, it remains a valuable and highly sought-after example of the trompe l'oeil style and a unique addition to any collection of decorative arts.",0
18th C. Large Chinese Qianlong Period Famille Rose Porcelain Pagoda Centerpiece,https://a.1stdibscdn.com/18th-c-large-chinese-qianlong-period-famille-rose-porcelain-pagoda-centerpiece-for-sale/f_9195/f_317047521670885511713/f_31704752_1670885512960_bg_processed.jpg,38000.0,"Furniture >Asian Art and Furniture >Ceramics ,Furniture,Asian Art and Furniture,Ceramics,","An 18th Century Large Chinese Qianlong Period Famille Rose Porcelain Pagoda Centerpiece.  Dating back to the 18th century, this porcelain masterpiece stands tall at an impressive height of 34 inches, showcasing a captivating fusion of colors and delicate hand-painted motifs.  The meticulous artistry of beautifully detailed and multicolored enamel with high-relief decoration of flowers, shrubs, birds, and vines adorning its surface creates a mesmerizing tapestry.  The alternating doors of the pagoda, skillfully painted to mimic closed shutters, evoke a sense of mystery and intrigue, contrasting with the open doors that invite exploration and discovery. The upper sections of the doors are adorned with an intricate lattice pattern, reminiscent of traditional Chinese architecture, while the lower portions are adorned with a captivating blue floral motif. These harmoniously blended elements lend a balanced visual appeal, captivating the viewer's gaze.  The overall impression exuded by this masterpiece is one of freshness and vitality, akin to the arrival of spring.  The vivid hues and meticulously applied brushstrokes breathe life into the porcelain, creating an atmosphere of tranquility and serenity.  Despite the passage of time, this Chinese Qianlong Period Famille Rose Porcelain Pagoda Centerpiece has retained its captivating allure. While the porcelain itself originates from the 18th century, the 20th-century wood mounts provide a tasteful and complementary foundation for this remarkable work of art, allowing it to be displayed and appreciated with utmost elegance.
China, Circa:  1740",0
"18th Century Carrara Marble and Dore Bronze Mantle Clock, F. Berthoud",https://a.1stdibscdn.com/18th-century-carrara-marble-and-dore-bronze-mantle-clock-f-berthoud-for-sale/1121189/f_203247321615385958812/20324732_master.jpg,18800.0,"Furniture >Decorative Objects >Clocks >Mantel Clocks ,Furniture,Decorative Objects,Clocks,Mantel Clocks,","A fabulous and quite important 18th century Louis XVI period Carrara marble and dore bronze mantle clock, signed F. Berthoud, Paris. The body of the clock is exceptionally cast and further hand-chiseled, chased, matted, and burnished in two-tone gold. The top of the clock includes a floral wreath with an arrow striking through it. The body includes acanthus leaves, laurel leaves, and other decorative aspects. The dore bronze clock rests on a hand carved Carrara marble base.
France, circa 1780.",0
18th Century Chinese Blue and White Kangxi Period Porcelain Covered Vase,https://a.1stdibscdn.com/18th-century-chinese-blue-and-white-kangxi-period-porcelain-covered-vase-for-sale/1121189/f_203340121602180233749/20334012_master.jpg,14000.0,"Furniture >Decorative Objects >Vases and Vessels >Vases ,Furniture,Decorative Objects,Vases and Vessels,Vases,","A Large 18th Century Chinese Blue and White Kangxi Period Porcelain Covered Vase/Jar. Of baluster form this covered vase is truly exceptional in quality, condition and size. The body is beautifully decorated with hand-painted chrysanthemum flowers as well as flowing vines. The top is similarly decorated in blue flowers with vines around them. The vase is in exceptionally great condition consindering its large size and age.
China, Circa: 1720",0
18th Century Meissen Commedia Dell'arte Porcelain Figurine by J. J. Kandler,https://a.1stdibscdn.com/archivesE/1stdibs/070814/Alexander_CC//8/X.jpg,45000.0,"Furniture >Decorative Objects >Sculptures ,Furniture,Decorative Objects,Sculptures,","A 18th century Meissen Commedia Dell'arte porcelain figurine by J. J. Kandler. This exquisitely painted porcelain figurine is a member of the Italian comedy troupe or the Commedia Dell'arte, which originated in Italy in the 16th century. This figure is likely that of the Innamorati or the lover whose purpose is to be in love with another character as well as themselves. The man's extravagant pants are finely detailed with playing cards, and his face adorned with beauty marks framed by his flamboyant hat. There is a under glazed cobalt blue crossed sword marking on the underside of the base.",0
